Series_reference,Period,Value,Unit,Seasonality,Series_name,RBNZ_seriesID,Transaction,Transaction_label,Asset_type,Sector,Sector_name
SNEQ.SG15ALE00000AFA0000S500,1998.12,304578,NZDm,A,Total Household financial assets,HHAL.QA,LE,Closing balance sheet,AFA,5,Households
SNEQ.SG15ALE00000AFA0211S500,1998.12,1103,NZDm,A,Currency,HHAL.QA5,LE,Closing balance sheet,AFA02,5,Households
SNEQ.SG15ALE00000AFA0280S500,1998.12,40799,NZDm,A,Total deposits,HHAL.QA1,LE,Closing balance sheet,AFA02,5,Households
SNEQ.SG15ALE00000AFA0281S500,1998.12,37277,NZDm,A,Deposits with registered banks,HHAL.QA1.D01,LE,Closing balance sheet,AFA02,5,Households
SNEQ.SG15ALE00000AFA0282S500,1998.12,3522,NZDm,A,Deposits with non-bank deposit takers,HHAL.QA1.D70,LE,Closing balance sheet,AFA02,5,Households
SNEQ.SG15ALE00000AFA0300S500,1998.12,2477,NZDm,A,Total debt securities,HHAL.QA2,LE,Closing balance sheet,AFA03,5,Households
SNEQ.SG15ALE00000AFA0381S500,1998.12,1400,NZDm,A,Central government debt securities,HHAL.QA2.P01,LE,Closing balance sheet,AFA03,5,Households
SNEQ.SG15ALE00000AFA0382S500,1998.12,319,NZDm,A,Local government debt securities,HHAL.QA2.P05,LE,Closing balance sheet,AFA03,5,Households
SNEQ.SG15ALE00000AFA0383S500,1998.12,757,NZDm,A,Other debt securities,HHAL.QA2.Q,LE,Closing balance sheet,AFA03,5,Households
SNEQ.SG15ALE00000AFA0400S500,1998.12,1430,NZDm,A,Loans,HHAL.QA6,LE,Closing balance sheet,AFA04,5,Households
SNEQ.SG15ALE00000AFA0500S500,1998.12,215542,NZDm,A,Total equity and investment fund shares,HHAL.QA4,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0510S500,1998.12,193875,NZDm,A,Total equity,HHAL.QA40,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0581S500,1998.12,61714,NZDm,A,NZ listed shares,HHAL.QA41.ZN,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0582S500,1998.12,4437,NZDm,A,Overseas listed shares,HHAL.QA41.ZF,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0512S500,1998.12,14096,NZDm,A,NZ unlisted shares,HHAL.QA43.Q03,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0520S500,1998.12,21667,NZDm,A,Total investment fund shares,HHAL.QA46,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0522S500,1998.12,21667,NZDm,A,Investment fund shares,HHAL.QA46.F34,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0513S500,1998.12,113627,NZDm,A,Equity in unincorporated NZ businesses,HHAL.QA43.Q04,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0600S500,1998.12,43227,NZDm,A,Total insurance technical reserves,HHAL.QA3.F,LE,Closing balance sheet,AFA06,5,Households
SNEQ.SG15ALE00000AFA0621S500,1998.12,12421,NZDm,A,Net equity in life insurance reserves,HHAL.QA3.F03,LE,Closing balance sheet,AFA06,5,Households
SNEQ.SG15ALE00000AFA0631S500,1998.12,30806,NZDm,A,Net equity in superannuation funds,HHAL.QA3.F05,LE,Closing balance sheet,AFA06,5,Households
SNEQ.SG15ALE00000AFA0681S500,1998.12,43227,NZDm,A,Net equity in life insurance and superannuation funds,HHAL.QA3.F01,LE,Closing balance sheet,AFA06,5,Households
SNEQ.SG15ALE00000AFL0000S500,1998.12,49227,NZDm,A,Total household financial liabilities,HHAL.QB,LE,Closing balance sheet,AFL,5,Households
SNEQ.SG15ALE00000AFL0400S500,1998.12,49227,NZDm,A,Total loans,HHAL.QB,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0481S500,1998.12,6729,NZDm,A,Total consumer loans,HHAL.QB12,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0482S500,1998.12,4209,NZDm,A,Consumer loans with registered banks,HHAL.QB12.D01,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0483S500,1998.12,2399,NZDm,A,Consumer loans with non-bank lending institutions,HHAL.QB12.D70,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0484S500,1998.12,121,NZDm,A,Other consumer loans,HHAL.QB12.F,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0461S500,1998.12,39848,NZDm,A,Total housing loans,HHAL.QB11,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0462S500,1998.12,36796,NZDm,A,Housing loans with registered banks,HHAL.QB11.D01,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0463S500,1998.12,1255,NZDm,A,Housing loans with non-bank lending institutions,HHAL.QB11.D70,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0464S500,1998.12,1797,NZDm,A,Other housing loans,HHAL.QB11.F,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0471S500,1998.12,56188,NZDm,A,Housing loans (including rental properties),HHAL.QM22,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0485S500,1998.12,2650,NZDm,A,Student loans,HHAL.QB15,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AN70000S500,1998.12,221000,NZDm,A,Housing and land value (including rental properties),HHAL.QC1,LE,Closing balance sheet,AN310,5,Households
SNEQ.SG15ALE00000AN60000S500,1998.12,176404,NZDm,A,Housing and land value,HHAL.QC6,LE,Closing balance sheet,AN6,5,Households
SNEQ.SG15ALE00000B900000S500,1998.12,431754,NZDm,A,Net wealth,HHAL.QC3,LE,Closing balance sheet,B90,5,Households
SNEQ.SG15ALE00000B910000S500,1998.12,255350,NZDm,A,Net financial wealth,HHAL.QC5,LE,Closing balance sheet,B91,5,Households
SNEQ.SG15ALE00000AFA0000S500,1999.03,312655,NZDm,A,Total Household financial assets,HHAL.QA,LE,Closing balance sheet,AFA,5,Households
SNEQ.SG15ALE00000AFA0211S500,1999.03,1078,NZDm,A,Currency,HHAL.QA5,LE,Closing balance sheet,AFA02,5,Households
SNEQ.SG15ALE00000AFA0280S500,1999.03,40551,NZDm,A,Total deposits,HHAL.QA1,LE,Closing balance sheet,AFA02,5,Households
SNEQ.SG15ALE00000AFA0281S500,1999.03,37007,NZDm,A,Deposits with registered banks,HHAL.QA1.D01,LE,Closing balance sheet,AFA02,5,Households
SNEQ.SG15ALE00000AFA0282S500,1999.03,3544,NZDm,A,Deposits with non-bank deposit takers,HHAL.QA1.D70,LE,Closing balance sheet,AFA02,5,Households
SNEQ.SG15ALE00000AFA0300S500,1999.03,2330,NZDm,A,Total debt securities,HHAL.QA2,LE,Closing balance sheet,AFA03,5,Households
SNEQ.SG15ALE00000AFA0381S500,1999.03,1217,NZDm,A,Central government debt securities,HHAL.QA2.P01,LE,Closing balance sheet,AFA03,5,Households
SNEQ.SG15ALE00000AFA0382S500,1999.03,319,NZDm,A,Local government debt securities,HHAL.QA2.P05,LE,Closing balance sheet,AFA03,5,Households
SNEQ.SG15ALE00000AFA0383S500,1999.03,793,NZDm,A,Other debt securities,HHAL.QA2.Q,LE,Closing balance sheet,AFA03,5,Households
SNEQ.SG15ALE00000AFA0400S500,1999.03,1397,NZDm,A,Loans,HHAL.QA6,LE,Closing balance sheet,AFA04,5,Households
SNEQ.SG15ALE00000AFA0500S500,1999.03,223852,NZDm,A,Total equity and investment fund shares,HHAL.QA4,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0510S500,1999.03,200652,NZDm,A,Total equity,HHAL.QA40,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0581S500,1999.03,63451,NZDm,A,NZ listed shares,HHAL.QA41.ZN,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0582S500,1999.03,4700,NZDm,A,Overseas listed shares,HHAL.QA41.ZF,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0512S500,1999.03,15626,NZDm,A,NZ unlisted shares,HHAL.QA43.Q03,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0520S500,1999.03,23200,NZDm,A,Total investment fund shares,HHAL.QA46,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0522S500,1999.03,23200,NZDm,A,Investment fund shares,HHAL.QA46.F34,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0513S500,1999.03,116876,NZDm,A,Equity in unincorporated NZ businesses,HHAL.QA43.Q04,LE,Closing balance sheet,AFA05,5,Households
SNEQ.SG15ALE00000AFA0600S500,1999.03,43447,NZDm,A,Total insurance technical reserves,HHAL.QA3.F,LE,Closing balance sheet,AFA06,5,Households
SNEQ.SG15ALE00000AFA0621S500,1999.03,12389,NZDm,A,Net equity in life insurance reserves,HHAL.QA3.F03,LE,Closing balance sheet,AFA06,5,Households
SNEQ.SG15ALE00000AFA0631S500,1999.03,31058,NZDm,A,Net equity in superannuation funds,HHAL.QA3.F05,LE,Closing balance sheet,AFA06,5,Households
SNEQ.SG15ALE00000AFA0681S500,1999.03,43447,NZDm,A,Net equity in life insurance and superannuation funds,HHAL.QA3.F01,LE,Closing balance sheet,AFA06,5,Households
SNEQ.SG15ALE00000AFL0000S500,1999.03,50283,NZDm,A,Total household financial liabilities,HHAL.QB,LE,Closing balance sheet,AFL,5,Households
SNEQ.SG15ALE00000AFL0400S500,1999.03,50283,NZDm,A,Total loans,HHAL.QB,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0481S500,1999.03,6679,NZDm,A,Total consumer loans,HHAL.QB12,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0482S500,1999.03,4176,NZDm,A,Consumer loans with registered banks,HHAL.QB12.D01,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0483S500,1999.03,2382,NZDm,A,Consumer loans with non-bank lending institutions,HHAL.QB12.D70,LE,Closing balance sheet,AFL04,5,Households
SNEQ.SG15ALE00000AFL0484S500,1999.03,121,NZDm,A,Other consumer loans,HHAL.QB12.F,LE,Closing balance sheet,AFL04,5,Households
